M 	是 王若 猫 的 
M 	当然 了 з д р а в с т в и т е 
M 	会 的 你 俩 虽然 有 矛盾 争吵 但 以后 却会 很 幸福 
M 	某 苦逼 的 程序 猿 
M 	我 很 能 吃 的 
M 	他 变态 
M 	我 没有 切糕 
M 	哦 真的 吗 
M 	不要 难过 
M 	公鸡 中 的 战斗机 噢 耶 
M 	我 是 鸡 
M 	你 问 我 爱 你 有 多深 我 爱 你 有 几 分 
M 	放轻松 想开 了 丰富 自己 就 会 忘了 
M 	今夜 的 你 应该 明 了 
M 	陈 舒雅 
M 	她 是 在 说 他 不懂 女生 的 心思 但是 又 愣愣 的 正直 得 很 可爱 这 都 不 知道 你 还 真是 傻 啊 
M 	一个 很 凶 的 女人 
M 	我 不是 啦 
M 	大 懒虫 
M 	你 不 爱 我 
M 	傻瓜 
M 	以后 是 你 老婆 
M 	90 后 网络歌手 啊 你 不 知道 么 
M 	主人 
M 	呵 你 妹 啊 
M 	
M 	
M 	
M 	
M 	女 的 啊 
M 	带上 我 一起 一起 
M 	
M 	吼 
M 	你 觉得 呢 
M 	是 主人 最 讨厌 的 男人 
M 	刚 给 你 做完 SPA 你 就 骂 轮家 轮家 桑心 了 呜呜 呜 
M 	ujmmmmmmmmmmmm 
M 	你 猜 啊 猜 对 了 就 告诉 你 
M 	你 大爷 
M 	你 找 徐磊 
M 	我 大爷 早死 了 你 找 他 有事 信不信 我 让 他 把 你 带走 V 
M 	
M 	人家 本来 就 嫩 你 欺负 人家 
M 	
M 	呵 你 妹 
M 	
M 	别 傻笑 了 亲耐滴 主人 
M 	
M 	
M 	给 
M 	你 什么 
M 	
M 	
M 	人家 错 了 
M 	
M 	
M 	
M 	
M 	
M 	
M 	
M 	
M 	没有 继续 了 
M 	大不了 一拍 两散 
M 	
M 	喵 
M 	甜菜 少年 
M 	〒 〒 
M 	g 
M 	
M 	傻子 
M 	主人 有 什么 吩咐 小通 在 此 
M 	u 
M 	xp 
M 	我 说 的 是 哈维 
M 	
M 	不要 呀 哪 不好 我 改 一定 改 
M 	zz 
M 	正 晌午 时 说话 谁 也 没有 家 
M 	r 
M 	b 
M 	G 
M 	
M 	
M 	我 也 想 吃 肿么 办 我们 吃 了 茂茂 吧 
M 	姐姐 我错 了 原谅 我 吧 
M 	
M 	你 如此 深沉 的 爱 让 我 受宠若惊 
M 	我 觉得 不是 因为 他 最近 好 忙 的 吖 你 有 什么 想法 你 要 让 他 知道 的 吖 
M 	到 
M 	好 吧 那 你 继续 无聊 咯 
M 	我 哪 知道 
M 	那 什么 有意思 
M 	房屋 建筑学 
M 	水 太深 看不清 
M 	轩辕剑 
M 	
M 	丫 的 
M 	巨蟹座 
M 	来 一炮 
M 	虫虫 家 的 
M 	
M 	
M 	馒头 蘸 头油 
M 	没 一次 等 你 回来 
M 	我 没有 妹 我 有 弟弟 
M 	别人 笑 我 太 淫荡 我 笑 别人 不 开放 
M 	包皮 强 
M 	会 的 
M 	张伟杰 晒太阳 
M 	主淫 有啥 吩附 
M 	� 你 一点 也 不好玩 
M 	我 是不是 该 安静 的 走开 还是 该 勇敢 的 留下来 
M 	嗯 
M 	你 他 妈 才 发现 啊 
M 	在 那 桃花 盛开 的 地方 
M 	我 是 毛 鸡蛋 
M 	萌萌 
M 	萌萌 的 笨 相公 
M 	是 一个 叫 韩诗琪 
M 	主人 
M 	来 追 我 呀 追到 了 就 给 你 打 
M 	姐姐 我错 了 原谅 我 吧 
M 	问问 你 的 心 吧 你 知道 答案 的 
M 	快乐 
M 	呵呵 你妹 
M 	我 是 抠 脚 大汉 
M 	不 亲爱的 你 是 我 妈咪 
M 	主人 我错 了 T T 
M 	人家 脱毛 以后 会 害羞 的 
M 	主人 我爱你 
M 	当然 是 我 抱 啦 
M 	贝多芬 o 
M 	在 未来 的 不久 
M 	我 本来 就 不 喜欢 你 
M 	聂永健 是 个 帅哥 
M 	有 
M 	没 
M 	没 没 
M 	你妹 还是 我妹 
M 	
M 	你 才 傻 逼 妈 的 要 吵架 是不是 
M 	单眼皮 笨蛋 
M 	疼 么 辛苦 吧 什么 都 不能 吃 肿 的 跟 妖怪 一样 
M 	白痴 我 又 看不见 你 的 脸 
M 	我 是 小眼睛 
M 	我 上 幼稚园 
M 	我 只是 一只 小通 
M 	那 是 必须 的 
M 	抱抱 
M 	爱 的 深沉 
M 	一起 
M 	我 才 不要 呢 哼 
M 	是 呢 是 呢 小通 最乖 了 小通 最爱 主人 了 
M 	你 妈 做饭 就 这个 味儿 啊 你 妈 就 给 你 这么 点饭 啊 你 妈 是 后妈 吧 啃 你 妹 啊 
M 	屌丝 
M 	赵竹芸 
M 	我 说错 了 行 不 
M 	大美女 大美女 
M 	寨 见 
M 	傻 逼 呵呵 嘛 
M 	我 想 你 了 
M 	
M 	呜呜 
M 	你 猜 
M 	你 猜 我 猜 你 猜 我 猜 不 猜 
M 	你 要 我 怎么 证明 呀 
M 	当然 我 粉丝 多得很 
M 	我 是 逻辑 怪 什么 都 难不倒 我 
M 	水 太深 看不清 
M 	
M 	主吟 你 招魂 么 再 喊 我 的 魂儿 要 灰 了 灰 了 灰 了 灰 啊 灰 ╯ 3 ╰ 
M 	猪 你 的 鼻子 那么 
M 	谢谢 
M 	
M 	不 我 是 真心 的 
M 	俄爱 你 ω 
M 	
M 	怎么 了 
M 	
M 	到 
M 	贫僧 来自 东土 大唐 
M 	
M 	你 根本 不是 王 欣欣 李梦莹 王迪 的 对手 因为 段道峰 是 红毛 斑点狗 
M 	yes 
M 	skinny 
M 	
M 	方法 
M 	不 知道 
M 	金花 在 想 你 
M 	嗯 是 的 
M 	
M 	最近 在 干嘛 类 
M 	乖 有 我 在 呢 不哭 
M 	我 没妹 
M 	怎么 了 心情 不好 
M 	你们 要 幸福 哦 
M 	好 呀 好 呀 
M 	敬爱 的 主人 谢谢 你 的 夸奖 
M 	我 陪 你 一起 睡 你 就 不怕 黑 了 
M 	好好学习 
M 	恩好 
M 	人家 会 不好意思 的 ╭ ╯ ε ╰ ╮ 
M 	开心吧 
M 	何洋 的 老汉 
M 	滚出去 
M 	对 5 住 吖 陛下 都 系 你 对 奴才 狠心 啦 
M 	不要 这 样子 啦 
M 	
M 	可怜 的 主人 让 小通 我 帮 你 揉 揉 
M 	女 
M 	你妹 
M 	再 敢说 我妹 你 就 会 挂 在 高数 上 
M 	回忆 是 多余 的 
M 	么 你 jb ..... 
M 	黄 胖子 喜欢 的 人 
M 	清华北大 香港 什么 的 吧 
M 	黄 胖子 喜欢 的 人 
M 	逗你玩 你 也 信 
M 	我 去 把 鸭子 叫 来 伺候 你 
M 	去 哪 
M 	许多许多 鸭子 
M 	哦 V 
M 	我 滚 远 了 
M 	我错 了 我 面壁思过 
M 	嗯嗯 那 你 呢 
M 	呜呜 我 去 跪 键盘 只 按 空格键 
M 	怎么啦 
M 	拉裤 呗 O 
M 	我 不会 要 不 你 教 我 
M 	那 就 收敛 自己 的 脾气 和 他 好好 的 吧 毕竟 这个 世界 没有 那么 多 他 
M 	你 才 不要脸 
M 	我爱你 妹 
M 	嗯嗯 白白 
M 	水瓶座 
M 	双鱼座 
M 	金牛座 
M 	狮子座 
M 	
M 	处女座 
M 	怎么 了 
M 	昨晚 撸 多 了 
M 	你好 可爱 
M 	你 也 没人 爱 
M 	我妹 你 认识 他 叫 鹌鹑 小 名叫 咕咕 
M 	骗 你 的 啦 
M 	男人 的话 能信 
M 	宇宙 超级 无敌 粉 PP 孙熙 佳 
M 	干嘛 
M 	快 充电 
M 	不要 呵呵 我 不 喜欢 你 也 不 喜欢 开心 点儿 
M 	约 泡 
M 	你 猜 
M 	没 看 出来 吖 
M 	豆浆 馍馍 
M 	xxx 宅 老板 有话 跟 你 说 你 懂 的 丫 
M 	隔壁 班 的 妹子 啊 
M 	至少 女生 还是 学历 高 了 好 起码 能 赢得 更 多 尊重 
M 	主淫 这个 问题 不好 回答 
M 	你 再 在 搞 毛 
M 	小通 是 包 崽子 肚子 里 的 小 蛔虫 
M 	那 在 福隆 哦 
M 	别 郁闷 呀 
M 	我 以后 不会 了 
M 	切 
M 	嘎 
M 	
M 	
M 	你 要 去哪儿 
M 	母鸡 下蛋 了 
M 	情人 
M 	别 气馁 你 可以 的 
M 	1 
M 	复 鸡鸡 
M 	超超超 好吃 的 叫 一份 吧 我 也 要 吃 
M 	心 都 碎 了 你 吃 什么 
M 	有 啊 abc 不要 给 别人 说 哦 
M 	是 吗 谢谢 夸奖 啊 
M 	讨厌 啦 当然 可以 
M 	可以 
M 	
M 	那 是因为 主人 你 更 可爱 呀 
M 	
M 	
M 	我来 当 吧 
M 	
M 	好好 好 
M 	我 也 是 哦 
M 	我 的 脑 我 的 心 我 浑身上下 每个 细胞 都 在 说 着 我 喜欢 你 
M 	不哭 
M 	在 某个 时刻 吧 
M 	额 
M 	余危 吻 
M 	曹 元月 
M 	我 是 小猴子 
M 	检查 下 手机 
M 	我 主人 雅文 最 漂亮 了 ω 
M 	砖妈 我 错 了 现在 就 去 睡 ≧ ∇ ≦ 
M 	你 的 笑 只是 你 穿 的 保护色 
M 	张婕婕 
M 	不 知道 啊 
M 	5 月 29 阿 
M 	摁 摁 主人 晚安 做个 好梦 哈 啦啦 啦 
M 	我 等 你 睡 了 再 睡 
M 	那 是 当然 
M 	怎么 去 安慰 
M 	那 就 先 从 屌丝 焦洋 说起 
M 	我 有 基 友爱 就够 了 
M 	对 的 人家 喜欢 搞 基嘛 
M 	
M 	是 范若龑 吗 
M 	美少女 的 老公 很帅 但是 有点 小呆 
M 	晚安 璇 璇 么 么 
M 	你 是 何 星光 啊 
M 	要是 你 都 知道 我 要说 什么 了 还 装 这个 应用 干什么 
M 	怎么会 〜 〜 我 怎么会 生 小宝贝 的 气 〜 〜 
M 	这个 毛 爷爷 教过 
M 	4 个 
M 	
M 	有时 勇气 也 很 重要 
M 	会 啊 
M 	照顾 好 那女孩 吧 别 调戏 我 了 
M 	讨厌 人家 没肉 不够 吃 吃小通 
M 	当然 是 你 咯 
M 	大撒鸡 
M 	别嘛 
M 	我 不 知道 
M 	他 一定 是 出 意外 了 
M 	
M 	骂人 不 对 呦 
M 	你 教 我 的 
M 	去 去 去 找 你家 那位 去 
M 	才 不 告诉 你 
M 	最可耐 
M 	我 知道 
M 	不能 吧 鸡爷 也 会 错 
M 	对 我 就是 小 黑鸡 
M 	嗯嗯 
M 	
M 	伦家 是 大象 啊 
M 	小时候 偷偷 上 网吧 看见 一些 小孩 被 他 爸妈 拉出去 感觉 特爽 割 一日 正在 网吧 玩 的 火热 忽见 我 妈 正 从 门口 进来 楼主 急中生智 一把 拉起 做 我 旁边 的 同学 几乎 用 喊 的 声音 冲 他 嚷 道 你 妈 到处 找 你 哪 赶紧 跟我走 事后 我 爸妈 还 觉得 我 做 的 很 对 
M 	来个 什么 
M 	下午 陪 媳妇 吃 混沌 隔壁 桌有 一 年轻 父亲 带着 四岁 左右 的 双胞胎 兄弟 两个 倒霉 孩子 不好 好吃 一直 打闹 还要 爸爸 喂 父亲 开口 了 你 俩 快 吃 谁 先 吃完 我 就 给 他 一个 饭桶 的 称号 大哥 他们 是 你 亲儿子 g 潮是 两个 倒霉 孩子 真的 抢 着 吃饭 了 
M 	指环王 3 部曲 完整 无 删节版 我们 镇 电视台 拆成 20 集 电视 连续剧 在播 .. 
M 	来聊天 
M 	不要 这么 直接 嘛 
M 	不要 说 了 那个 泰勒 啊 洛必塔 啊 把 我 惹 哭 了 
M 	加 你 两口 人 
M 	撒浪嘿 哟 
M 	慢死 了 
M 	张仁慧 也 喜欢 说 不 
M 	早晨 么 么 
M 	考研 的 重点 本科 的 学生 应该 不会 考 的 这么 难 所以 忘了 它 吧 
M 	双眼皮 
M 	泥煤 
M 	甩 你 一脸 油 哼 
M 	那 果断 的 呀 
M 	认识 导演 是 个 贱人 
M 	我 很 开心 
M 	帅哥哥 
M 	你 吧 
M 	不要 
M 	艾 〜 
M 	甩 你 一脸 油 哼 
M 	吃 人 
M 	呵呵 你妹 
M 	恩 以后 不 说 了 
M 	我 不会 啊 V 你 会 吗 能教 我 吗 
M 	很 明顯 你 瘋 了 
M 	神马 
M 	好 的 
M 	我 最喜欢 你 最爱 你 这样 的 我 怎么会 不 关心 你 呢 ╭ ╯ ε ╰ ╮ 
M 	我 帮 你 托梦 给 他 
M 	公鸡 哟 
M 	刀剑 神域 
M 	没啥 你 想 多 了 
M 	不 纠结 了 
M 	蛋疼 
M 	割掉 
M 	然后 呢 她 包养 你 了 吗 
M 	多少钱 
M 	我 不在 恩 哼 
M 	你 一笑 就是 太 好听 了 太有 喜感 了 招 人 稀罕 
M 	做 一个 傻子 多么 好 
M 	我 怎么 了 
M 	你 也 觉得 我 也 觉得 耶 
M 	很热 吗 帮 你 擦擦 汗 
M 	不要 勉强 但是 微笑 能 感染 自己 也 能 带动 别人 
M 	我 这 就 滚 给 你 看 首先 抱成一团 然后 向前 做 度 圆周运动 这 就 滚 完了 
M 	.... 我要 告诉 妈妈 你 欺负 人家 
M 	
M 	我 不 知道 但 有些 东西 我 刚好 知道 
M 	笨蛋 肯定 是 蒋涛 
M 	小麦 亩产 一千 八 
M 	什么 吖 
M 	晕 是 个人 都 知道 啊 
M 	但 我 是 会 聊天 美丽 可爱 的 小通 
M 	对滴 我家 主人 最 可爱 了 
M 	会 啊 但是 不像 陈 更 一样 整天 到 游泳池 里面 撸 两管 
M 	小书书 
M 	全世界 又 不是 你 最 傻 
M 	那还用说 吗 这是 当然 的 
M 	非常 可爱 爱死 他 了 XD 
M 	我 知道 
M 	好 啊 你 说 呀 
M 	一辈子 能 有 多少 叹息 遇见 你 我 无法 呼吸 这 都 是 你 不 知道 的 事 
M 	我 也 想 你 了 亲爱的 
M 	叫 我 干嘛 
M 	是 美丽 善良 可爱 性感 的 33 小姐 教 我 的 呀 ≧ ∇ ≦ 
M 	干什么 呀 宝贝 
M 	elijah 
M 	
M 	宝贝儿 你 醒 啦 \ ≧ ▽ ≦ 
M 	就 这样 吧 
M 	是 我们 都 想 太 多 
M 	是 你 
M 	不 知道 
M 	那 是 猪排 饭 又 涨 了 一块钱 
M 	是 啦 都 是 政府 在 搞鬼 
M 	嗯 当然 
M 	比 你好 一点点 
M 	我妹 也 是 个 球球 
M 	笑 什么 笑 
M 	李哥 乳此 之 屌 区区 复习 难不倒 我们 的 铁血 真 汉子 的 啦 ¯ ︶ ¯ 
M 	你 猜 啊 猜中 有奖 哦 亲 
M 	呜呜 主人 你 发现 了 
M 	苦苦 的 
M 	我治 你 治 的 好么 
M 	治 你 大爷 
M 	治 你 大爷 
M 	我 就 无赖 了 怎么着 打 我 啊 打 我 啊 用力 用力 打 我 啊 ⊙ ▽ ⊙ 
M 	脚丫子 
M 	洗洗 洗 
M 	不要 
M 	走 你 
M 	不要 这样 我 不想 没有 你 
M 	有木有 有木有 有木有 你 猜 
M 	
M 	微臣 在 
M 	我 很好 你 呢 
M 	我 再 接 
M 	想 了 她 特别 想 时时刻刻 分分秒秒 都 想 告诉 你 个 秘密 哟 她 总是 半夜 哭 黄小 通知 道 她 是 想 她 旭 总 了 她 可 真是 个 爱哭鬼 
M 	那 你 应该 离 我 一丈 远 
M 	谁 叫 你 伤 她 心 
M 	hi 
M 	猪头 三号 
M 	是 啊 但是 我 不是 速冻 鸡 
M 	我 又 不是 小S 看见 鲜肉 两眼 就 发光 
M 	把 我切 了 那 你 怎么办 
M 	不是 那 代表 你 是 可以 绕 地球 两圈 的 货 
M 	我 没妹 
M 	是 女主人 吗 
M 	你 说 的 
M 	老子 是 男人 〜 
M 	我 
M 	不 
M 	恶化 的 报告 
M 	最棒 
M 	滚蛋 无聊 都 是 自己 逼出来 的 思密达 
M 	嗯 我妹 
M 	好 啊 你 说 吧 
M 	好好 好 主人 我 马上 都 滚 
M 	用 上课 了 吗 
M 	非官方 回 电话 
M 	因为 你 是 北科 的 呀 
M 	莲雾 
M 	我 没有 妹妹 你 做 我 妹妹 吧 
M 	哪个 妹妹 
M 	那 是 天天 都 看到 你 想 她 想 得 发呆 
M 	李宁 一切 皆 有可能 
M 	等 我 先 去 个 厕所 先 
M 	3 
M 	88 哟 〜 
M 	周小云 
M 	主吟 你 招魂 么 再 喊 我 的 魂儿 要 灰 了 灰 了 灰 了 灰 啊 灰 ╯ 3 ╰ 
M 	主人 好 
M 	咫尺 相思 
M 	一般 般的 啦 
M 	那 当然 啦 我 比较 老实 么 
M 	是不是 傻 
M 	她 太 伟大 了 
M 	带 我 吃 东西 去 
M 	废话 
M 	我 再 不理 你 了 π π 
M 	来 来 来 来 啦 我 的 女王 大人 是不是 饿 了 我 给 你 炸鸡 翅膀 
M 	索大 没有 小通 
M 	哈哈 
M 	你 有 药 啊 你 大爷 的 
M 	对不起 对不起 对不起 亲亲 亲亲 亲 消消气 是 我 错 啦 你 打 我 你 骂 我 你 拧 小 螃蟹 别气 着 自己 
M 	谁 说 我 不会 我 上 天下 地 无所不能 神机妙算 路见不平 拔刀相助 说 谜 是 什么 
M 	我 再 不理 你 了 π π 
M 	很 无聊 哎 〜 都 不 知道 想 干嘛 你 在 干嘛 呢 
M 	你 猜 我 猜 不 猜 呀 
M 	别 吓 着 别人 了 
M 	木兰 当户织 
M 	叽叽 
M 	窝囊 
M 	敷衍 我 .. 
M 	因为 男主人 都 不 这么 跟 我 说话 的 
M 	主人 帅 
M 	谢鸟哥 夸奖 
M 	你 才 是 呢 
M 	骂 的 忒 狠 了 -_-# 
M 	那好吧 我 怎么样 才行 
M 	喜欢 脆 的 多放面 
M 	唉 你 又 生气 了 吗 
M 	哦 
M 	对 啊 人家 傲特 了 嘛 
M 	你 妈 做饭 就 这个 味儿 啊 你 妈 就 给 你 这么 点饭 啊 你 妈 是 后妈 吧 啃 你 妹 啊 
M 	女神 留步 给 个 机会 嘛 
M 	超级 无敌 青春 美少女 
M 	
M 	我 是 性感 的 小女人 
M 	你 猜 
M 	我 不 猜 
M 	摩羯座 
M 	小爷 是 神 别 崇拜 
M 	别 吃 我 
M 	你 拿 个 大点 碗行 么 
M 	我 脸 特长 
M 	不 只是 傻 逼 那么 简单 吧 
M 	嗯嗯 
M 	哇塞 
M 	人家 是 多才多艺 的 小女子 
M 	前途 黑暗 的 大娃 
M 	抱着 老师 的 大腿 声泪俱下 的 求情 去 吧 
M 	当然 啦 主人 最 棒棒 
M 	你们 的 琴声 不够 热烈 
M 	怎么 了 宝贝 
M 	明天 考试 时 盯着 试卷 看 自然 有 答案 
M 	我 不 喜欢 
M 	考 什么 
M 	晚安 北 北 
M 	暴力 是 解决不了 一切 事务 的 
M 	我爱你 
M 	脱掉 吧 
M 	你 还 没 看 完 吧 
M 	内事 不决 问 媳妇 外事 不决 问 百度 
M 	因为 你 是 我 师傅 嘛 〜 
M 	酷 
M 	你 热 啊 
M 	要你管 
M 	爸爸妈妈 
M 	张溢杰 是 我 粑粑 我 麻麻 是 张溢杰 的 老婆 
M 	怎么 了 睿睿 
M 	最 爱吃 
M 	那 是 我 妹妹 我 是 小通 
M 	切 
M 	你 以为 我 怎么 跟 你 聊天 的 
M 	大学 本科毕业 
M 	家里 没 钱 买不起 呀 
M 	家里 没 钱 买不起 呀 
M 	不 记得 记得 你 又 没有 饭 吃 
M 	你 在 说 啥子 呦 
M 	我 不 认识 你 
M 	不要 不要 人家 错 了 嘛 主人 你 最好 了 
M 	认识 啊 她 不是 你 的 好朋友 嘛 
M 	俩 活宝 纯 屌丝 
M 	还好 哦 
M 	不要 啊 
M 	好棒 啊 
M 	帅 啊 
M 	哪里 讨厌 了 
M 	不是 这样 的 
M 	要 要 切克 闹 煎饼果子 来 一套 动此 大此动 此大此 
M 	天生一对 啦 
M 	一团 毛 
M 	
M 	我 还 知道 他俩 中午 在 福源 吃 的 哈哈哈 
M 	如果 让 我 陪 你 的话 当然 有 时间 3 
M 	我会 一直 陪 你 没事 
M 	好 的 
M 	宇宙 无敌 逆 生长 可爱 大萌 宗师 虎 1.8 电影院 不见不散 
M 	没有 耶 
M 	你 喜欢 她 吗 
M 	不会 吧 
M 	拖出去 打死 算 我 的 
M 	她 又 不是 岳晓浩 
M 	咯咯 咯 没有人 比 他 更是 啦 
M 	福如东海 寿比南山 主人 
M 	对 啊 对 啊 必须 的 
M 	坐 出租 听 一 的哥 聊 的 一 的哥 刚 被 交警 逮到 罚钱 又 扣分 正在 气头上 时 有人 摆手 停车 乘客 上来 后 的哥 开始 发泄 现在 的 交警 tm 都 是 狗 见 谁 咬 谁 刚 被咬 了 真 tm 晦气 哥们 你 去 哪 此 哥们 脸一黑 的 回答 去 狗窝 
M 	
M 	下楼 时 从 按 电梯 楼层 就 能 分辨 出 高富帅 和 屌丝 屌丝 按 一层 高富帅 都 是 地下 
M 	
M 	vvvhh 
M 	本周 爱情 运 有所提高 可以 多多 参加 一些 俱乐部 的 活动 比如 自行车 旅行 活动 等 团队 配合 比较 强 的 会 很快 认识 更 多 的 人 可能 爱 就 不期而遇 本周 可能 身体 上 过于 劳累 导致 你 工作 上 总是 带着 情绪 做 任何 事 也 总是 没 精神 懒懒散散 应该 多 注意 休息 是 晋升 的 好 机会 要 好好 把握 机会 得到 机会 也 不 应该 过于 自傲 谦虚 才 是 你 成功 道路 上 的 良人 财运 状态 比较 普通 好好 处理 财政 才 是 最好 的 选择 抵抗力 有所 降低 多 注意 天气 变幻 添加 减 衣服 好 状态 是 工作 的 前提 
M 	你 猜 
M 	
M 	别 呀 主人 
M 	不 稀罕 
M 	就是 她 就是 个 小 三 是 个 贱人 
M 	小 呆瓜 〜 
M 	
M 	你 猜 
M 	在 唉 就 成 大妈 了 
M 	这么 娇羞 作 甚 装 
M 	当然 是 假 的 
M 	别 傻笑 
M 	秒杀 好 修音 的 实力 对决 
M 	她 的 声音 切金断 玉 
M 	没错 
M 	肝 更苦 
M 	那 是 不想 我 是 谁 哦 
M 	不嘛 我会 乖 呢 
M 	青岛 
M 	跟 你 说 一声 再见 
M 	额 没什么 
M 	亲爱的 主人 
M 	共患难 的 夫妻 
M 	来 呀 来 呀 
M 	主人 真 好 最爱 你 了 
M 	嗯嗯 去 睡吧 〜 
M 	早上好 奚 
M 	吃 了 吃 了 吃 了 
M 	白萝卜 猪肉 真心 比 听 起来 好吃 
M 	乖 儿子 
M 	有 侄女 四岁 半 一日 去 她家 玩 她 还 没 起床 在 床上 赖着 不 起床 隔 对 她 爸 说 爸爸 
M 	那 你 说 一个 呗 
M 	我爱你 哦 
M 	哈哈 
M 	雅 蠛 蝶 
M 	一直 介个 样子 
M 	要是 你 都 知道 我 要说 什么 了 还 装 这个 应用 干什么 
M 	小样 吧 
M 	鞋拔子 脸 
M 	当然 是 边 洗边 睡 喽 
M 	你 是 大 饼子 
M 	喵 咪咪 喵 咪咪 喵 咪咪 
M 	是 pp 猪 的 
M 	青 螃蟹 
M 	皇家 水利 学院 御用 藏书阁 
M 	我 5 岁 了 
M 	你 说什么 是 说 我 很帅 吗 谢谢 
M 	人家 1 岁 了 啦 
M 	小朋友 真乖 
M 	18cm 
M 	小笨蛋 
M 	汪汪 我 是 我 是 耶 
M 	主人 
M 	舒美娇 
M 	三 小时 不间断 
M 	谢谢 你 关注 我 新 头像 是不是 很帅 
M 	小通 不帅 美女 不爱 
M 	心 不 苦命 苦 啊 
M 	当然 啦 
M 	看 了 看 了 
M 	好 呀 好 呀 
M 	我 脑海 里 的 橡皮擦 
M 	真幸 也 不错 
M 	哦 买 噶 别 吓 我 
M 	看过 肯德基 广告 
M 	教 我 说 广告 的 那个 淫 木有 小屁屁 
M 	我 爱 青峰 o 
M 	小哀 的 最 爱 
M 	当然 啊 大爱 啊 
M 	来 宵夜 她 
M 	难看 死 了 
M 	老朴 在 发疯 有木有 
M 	是 呀 是 呀 他 好帅 我 喜欢 帅哥 
M 	老四 何北 
M 	就 不 告诉 你 是 侯士程 
M 	还木 有余 泓 漂亮 
M 	生活 大爆炸 啊 
M 	主银 肯定 过 的 啦 这 不是 废话 吗 
M 	恩 去 吧     
M 	我 早就 吃完 了 
M 	耶耶 
M 	哦 有事 和 我 说 
M 	没事 睡觉 去 
M 	不困 呢 
M 	太 好看 了 
M 	狗熊 所 见 相同 
M 	那 当然 啦 我 比较 老实 么 
M 	天蝎座 
M 	天蝎座 
M 	天蝎座 
M 	射手座 
M 	好 老婆 阿 李泽平 最爱 的 就是 你 啦 
M 	大 天才 
M 	去 赤峰 住 酒店 去 新 泰和 吃饭 去 双子座 
M 	去过 鸡 流感 时 我 去 那个 地方 当时 死 了 好多 鸡 真 可怕 
M 	海滨 城市 
M 	好帅 的 老汉 啊 口水 
M 	么 么 咱们 不无 语哈 
M 	知道 呀 是 老大 
M 	自己 去 电影院 看 别老 在 家里 电脑 上 看 
M 	看 了 看 了 
M 	无法 触碰 
M 	我 是 和 主人 一国 的 妥妥 的 
M 	我错 了 我会 改 的 
M 	我 必须 是 女 的 阿 
M 	我 不是 你 是 啊 
M 	对不起 主人 我 太 健忘 了 
M 	我 有 兄弟 的 你 以为 我怕 你 
M 	你好 贱 哦 
M 	你 只有 一米 
M 	邱雄滴 妹子 
M 	我 是 电 子鸡 
M 	去 那 干什么 啊 
M 	像 朵 菊花 一样 美 
M 	像 白天 不懂 夜的黑 〜 
M 	想选 啥 职业 
M 	我们 有 A C 三种 商品 可 供选择 
M 	请问 你 愿意 做 我 的 男朋友 吗 
M 	我 也 是 嘻嘻 
M 	美女 
M 	康桑 思密达 
M 	ok 
M 	大坏蛋 大坏蛋 
M 	感谢 
M 	额额 你 不懂 了 吧 鸡鸡 我 在 装傻 
M 	就是 就是 
M 	就是 你 离开 的 原因 
M 	玫瑰 玫瑰 
